x: -0.497281, y: 0.686811, z: -0.633327, roll: 0.310828, pitch: 0.206290, yaw: 0.170284
x: -0.480858, y: 0.737466, z: -0.611092, roll: 0.339559, pitch: 0.188925, yaw: 0.179237
x: -0.411852, y: 0.644174, z: -0.676456, roll: 0.274590, pitch: 0.176926, yaw: 0.136633
x: -0.429844, y: 0.613823, z: -0.685477, roll: 0.257694, pitch: 0.195112, yaw: 0.115313
x: -0.086558, y: 0.351672, z: -0.845978, roll: 0.086190, pitch: 0.044989, yaw: 0.090816
x: -0.208732, y: 0.450043, z: -0.799931, roll: 0.147356, pitch: 0.099134, yaw: 0.091913
x: -0.219469, y: 0.423216, z: -0.809123, roll: 0.132278, pitch: 0.107769, yaw: 0.087604
x: -0.514993, y: 0.672552, z: -0.635433, roll: 0.305770, pitch: 0.212918, yaw: 0.179122
x: -0.348940, y: 0.634626, z: -0.696367, roll: 0.262794, pitch: 0.148872, yaw: 0.126833
x: -0.492759, y: 0.652497, z: -0.650899, roll: 0.288437, pitch: 0.215240, yaw: 0.147053
x: -0.513741, y: 0.735252, z: -0.601845, roll: 0.337341, pitch: 0.217572, yaw: 0.156025
x: -0.534260, y: 0.756194, z: -0.581096, roll: 0.359311, pitch: 0.207947, yaw: 0.195662
x: -0.409905, y: 0.632412, z: -0.682596, roll: 0.268086, pitch: 0.178066, yaw: 0.133400
x: -0.215163, y: 0.464868, z: -0.794068, roll: 0.155618, pitch: 0.103458, yaw: 0.089610
x: -0.210404, y: 0.445349, z: -0.800974, roll: 0.144282, pitch: 0.102484, yaw: 0.086670
x: -0.206909, y: 0.426697, z: -0.808691, roll: 0.133803, pitch: 0.100918, yaw: 0.087646
x: -0.138410, y: 0.459565, z: -0.803409, roll: 0.149614, pitch: 0.062761, yaw: 0.094974
x: -0.206576, y: 0.415732, z: -0.813914, roll: 0.127381, pitch: 0.102092, yaw: 0.086105
x: -0.103377, y: 0.451923, z: -0.809690, roll: 0.144293, pitch: 0.044497, yaw: 0.103145
x: -0.370646, y: 0.591720, z: -0.714513, roll: 0.233721, pitch: 0.177090, yaw: 0.091805
x: -0.202920, y: 0.418339, z: -0.811555, roll: 0.128760, pitch: 0.101370, yaw: 0.079356
x: 0.012156, y: 0.647302, z: -0.732687, roll: 0.244564, pitch: -0.026940, yaw: 0.110898
x: -0.249304, y: 0.515456, z: -0.768537, roll: 0.186926, pitch: 0.114361, yaw: 0.101080
x: -0.266797, y: 0.455655, z: -0.790130, roll: 0.152421, pitch: 0.130401, yaw: 0.084000
x: -0.075021, y: 0.263808, z: -0.874939, roll: 0.030461, pitch: 0.049347, yaw: 0.065497
x: -0.316433, y: 0.526030, z: -0.754101, roll: 0.195549, pitch: 0.149737, yaw: 0.096689
x: 1.427326, y: -1.735529, z: 0.816833, roll: -1.205057, pitch: -0.938253, yaw: 0.399075
x: -0.233846, y: 0.465121, z: -0.790244, roll: 0.157192, pitch: 0.111885, yaw: 0.089544
x: -0.323487, y: 0.533173, z: -0.748919, roll: 0.199331, pitch: 0.153237, yaw: 0.094850
x: -0.216868, y: 0.487298, z: -0.785601, roll: 0.168461, pitch: 0.104234, yaw: 0.087047
x: -0.094278, y: 0.349033, z: -0.845243, roll: 0.084983, pitch: 0.051058, yaw: 0.079300
x: -0.215822, y: 0.444513, z: -0.800502, roll: 0.145136, pitch: 0.104666, yaw: 0.085731
x: -0.205530, y: 0.471917, z: -0.791427, roll: 0.160607, pitch: 0.095524, yaw: 0.096726
x: 1.504235, y: 0.238387, z: -0.291460, roll: -0.131030, pitch: -0.750780, yaw: 0.294227
x: -0.211409, y: 0.404470, z: -0.815795, roll: 0.120556, pitch: 0.107532, yaw: 0.074267
x: -0.188266, y: 0.439522, z: -0.805243, roll: 0.141637, pitch: 0.089656, yaw: 0.093543
x: -0.277617, y: 0.507740, z: -0.766632, roll: 0.183313, pitch: 0.131900, yaw: 0.091693
x: -0.077173, y: 0.267525, z: -0.873201, roll: 0.033573, pitch: 0.050186, yaw: 0.064601
x: -0.292845, y: 0.517596, z: -0.761323, roll: 0.188519, pitch: 0.140794, yaw: 0.087217
x: -0.424063, y: 0.635910, z: -0.682739, roll: 0.261935, pitch: 0.201562, yaw: 0.099062
x: -0.200632, y: 0.442485, z: -0.803529, roll: 0.142809, pitch: 0.096179, yaw: 0.092868
x: 0.712478, y: -0.187651, z: -0.735456, roll: -0.151424, pitch: -0.306255, yaw: 0.276311
x: -0.220255, y: 0.455365, z: -0.796496, roll: 0.150717, pitch: 0.106176, yaw: 0.087231
x: -0.115910, y: 0.375113, z: -0.836388, roll: 0.099834, pitch: 0.060580, yaw: 0.080085
x: -0.250850, y: 0.493456, z: -0.778154, roll: 0.173027, pitch: 0.120399, yaw: 0.085358
x: -0.203052, y: 0.486531, z: -0.787741, roll: 0.167133, pitch: 0.095443, yaw: 0.092753
x: -0.128065, y: 0.448850, z: -0.808747, roll: 0.144013, pitch: 0.059061, yaw: 0.094421
x: -0.320292, y: 0.529433, z: -0.753264, roll: 0.196394, pitch: 0.154715, yaw: 0.088694
x: -0.364637, y: 0.560864, z: -0.731420, roll: 0.214629, pitch: 0.177797, yaw: 0.085337
x: -0.323547, y: 0.543126, z: -0.746143, roll: 0.204933, pitch: 0.153353, yaw: 0.096019
x: -0.187628, y: 0.476179, z: -0.792756, roll: 0.162109, pitch: 0.086153, yaw: 0.099312
x: -0.073643, y: 0.273349, z: -0.873233, roll: 0.036320, pitch: 0.050056, yaw: 0.058107
x: -0.198212, y: 0.481439, z: -0.789988, roll: 0.164704, pitch: 0.092627, yaw: 0.093730
x: -0.304245, y: 0.523447, z: -0.758760, roll: 0.192719, pitch: 0.144808, yaw: 0.092336
x: -0.224406, y: 0.489024, z: -0.782440, roll: 0.171439, pitch: 0.104045, yaw: 0.098013
x: -0.088354, y: 0.320612, z: -0.855004, roll: 0.067704, pitch: 0.050361, yaw: 0.076895
x: -0.294954, y: 0.650752, z: -0.692426, roll: 0.268269, pitch: 0.137758, yaw: 0.097417
x: -0.265269, y: 0.508418, z: -0.769389, roll: 0.181922, pitch: 0.129759, yaw: 0.079000
x: -0.090703, y: 0.328705, z: -0.853604, roll: 0.071489, pitch: 0.051758, yaw: 0.076381
x: -0.229224, y: 0.455290, z: -0.795416, roll: 0.151689, pitch: 0.109588, yaw: 0.091335
x: -0.243658, y: 0.465549, z: -0.788581, roll: 0.157490, pitch: 0.118755, yaw: 0.084794
x: -0.206185, y: 0.449639, z: -0.800658, roll: 0.146883, pitch: 0.098910, yaw: 0.091353
x: -0.216794, y: 0.446782, z: -0.799968, roll: 0.145749, pitch: 0.105323, yaw: 0.085800
x: -0.125684, y: 0.459573, z: -0.804837, roll: 0.149501, pitch: 0.054843, yaw: 0.102785
x: -0.169053, y: 0.464819, z: -0.798702, roll: 0.154332, pitch: 0.079039, yaw: 0.091072
x: -0.154908, y: 0.376132, z: -0.833018, roll: 0.101912, pitch: 0.077598, yaw: 0.086944
x: -0.223262, y: 0.429280, z: -0.806274, roll: 0.134731, pitch: 0.112844, yaw: 0.073213
x: -0.207815, y: 0.453455, z: -0.799731, roll: 0.149360, pitch: 0.099234, yaw: 0.091679
x: -0.454216, y: 0.636016, z: -0.668988, roll: 0.273240, pitch: 0.202841, yaw: 0.128085
x: -0.409535, y: 0.626054, z: -0.684965, roll: 0.267045, pitch: 0.174281, yaw: 0.141475
